,country,status,life expectancy,adult mortality,infant deaths,alcohol,percentage expenditure,hepatitis b,measles,bmi,under-five deaths,polio,total expenditure,diphtheria,hiv/aids,gdp,population,thinness 1-19 years,thinness 5-9 years,income composition of resources,schooling
0,Afghanistan,1.0,58.19375,269.0625,78.25,0.014375,34.9601100659375,64.5625,2362.25,15.51875,107.5625,48.375,8.2525,52.3125,0.1,340.01542546875,9972259.8125,16.58125,15.581249999999999,0.415375,8.2125
1,Albania,1.0,75.15625,45.0625,0.6875,4.84875,193.259090710625,98.0,53.375,49.06875,0.9375,98.125,5.945625,98.0625,0.1,2119.726678875,696911.625,1.61875,1.7,0.709875,12.1375
2,Algeria,1.0,73.61875,108.1875,20.3125,0.6159375,236.185240668625,81.5,1943.875,48.74375,23.5,91.75,4.6759375,91.875,0.1,2847.8533923125,21649827.4375,6.09375,5.975,0.694875,12.7125
3,Angola,1.0,49.01875,328.5625,83.75,5.6165625,102.10026837,79.75,3561.3125,18.01875,132.625,46.125,4.0340625,47.6875,2.36875,1975.14304511875,10147099.1875,6.1937500000000005,6.66875,0.45837500000000003,8.04375
4,Antigua and Barbuda,1.0,75.05625,127.5,0.0,7.6871875,1001.58522632875,97.875,0.0,38.425,0.0,96.9375,4.8515625,98.3125,0.125,9759.305728125,1386542.0,3.425,3.375,0.48862500000000003,8.84375
5,Argentina,1.0,75.15625,106.0,10.125,7.7034375,773.0389813131251,82.625,2.0,54.98125,11.375,93.375,6.8403125000000005,92.375,0.1,6998.575103125,20121204.5,1.075,0.9500000000000001,0.794125,16.50625
6,Armenia,1.0,73.4,117.375,1.0,3.7059375,131.0074187505,87.5625,274.25,44.70625,1.0,89.125,4.9171875,87.375,0.1,1999.98631765,1015164.625,2.0375,2.1125000000000003,0.698375,11.7875
7,Australia,0.0,81.8125,63.1875,1.0,9.7553125,5332.2264727375,93.3125,103.9375,55.8625,1.375,86.75,8.6440625,86.875,0.1,34637.565046875,4587009.875,0.66875,0.625,0.9181250000000001,20.0375
8,Austria,0.0,81.48125,65.75,0.0,11.7059375,4928.4391880525,81.0625,77.25,48.2875,0.0,86.0,4.7803125,86.75,0.1,33827.47630875,6474879.875,1.73125,1.9375,0.862375,15.3875
9,Azerbaijan,1.0,70.73125,115.1875,6.0625,1.1646874999999999,131.1487469148125,63.3125,598.1875,43.84375,7.1875,75.8125,5.6840625,82.3125,0.1,3302.94780699375,2157370.5,2.9,2.94375,0.7026875,11.35
10,Bahamas,1.0,74.2875,152.0625,0.0,9.8640625,0.0,84.125,0.0,52.88125,0.0,95.0,6.6465625,95.75,0.11875000000000001,1766.947595,1386542.0,2.55,2.51875,0.7379375,12.425
11,Bahrain,1.0,75.725,65.375,0.0,2.0484375,602.087139648875,98.125,6.6875,51.65625,0.0,98.0,3.9290625,98.0625,0.1,11191.247420625,1386542.0,6.10625,5.95,0.8079375,14.1125
12,Bangladesh,1.0,69.3,141.375,153.625,0.2440625,32.3209715146875,80.3125,4649.9375,12.875,201.5625,87.5,3.0359375,92.75,0.1,443.561481025,42985163.875,13.775,14.33125,0.517875,8.69375
